id,customer_tweet_id,text,gold_intent,gold_escalation,difficulty,notes
1,1386628,Yes the device has been restarted with no change,,,easy,Standard single-issue report
2,1528735,‼‼‼ RT @474618: Fix this question mark shit @AppleSupport,,,easy,Standard single-issue report
3,1444456,hello I've sent a DM asking for support help. Please assist.,,,easy,Standard single-issue report
4,1327400,"#shoutout to @115858 for hiding airdrop on the new iOS update, they should probably fire all their designers it’s all gone to pot",,,easy,Standard single-issue report
5,695365,Dear @115858 @116333 can we please get the ability to change chat bubble color within the default messaging app? #ideas #freeyouriphone #customization,,,easy,Standard single-issue report
6,1591491,.@115858 fix this like wtf https://t.co/RXMVtxeMwT,,,easy,Standard single-issue report
7,1628497,When can we expect a bug fix for the whole “I” keyboard issue,,,easy,Standard single-issue report
8,431638,any way to check the overall battery health of my iPhone SE?,,,easy,Standard single-issue report
9,809485,Thanks @AppleSupport I wonder if @O2 can answer?,,,easy,Standard single-issue report
10,1449249,Yo @AppleSupport ! Wassup with the boxes instead of emojis? I feel like an Android user all over again. *No offense y’all*,,,easy,Standard single-issue report
11,704477,Can you tell me how to put an application in wish list in #ios11 It is not there...!?,,,easy,Standard single-issue report
12,331736,I think @115858 has broken touch in #iOS11 I have to tap things 2 or 3 times. Time to find something better,,,easy,Standard single-issue report
13,1615489,why does my phone do this?!?😤😤😤 https://t.co/awxMBvJZZ9,,,easy,Standard single-issue report
14,1492839,"o IOS11 tá dando problema com o Wi-Fi e não conecta, em todos os Androids aqui de casa funciona internet, no meu cel não 🙄",,,easy,Standard single-issue report
15,1173949,if I take my MacBook to an Apple Store can y'all instal a flat headphone jack on my lab top somewhere?,,,easy,Standard single-issue report
16,1543550,fix his so I can talk about myself!!!!!! https://t.co/TnyXAqVTWu,,,easy,Standard single-issue report
17,1522032,7S. When scrolling down to the next month it disappears the dates and crashes,,,easy,Standard single-issue report
18,1497881,"iPhone 6s battery at 20%. I restarted, the battery is at 37%. Now dropped to 30% in less than a minute!😲 what’s wrong with you @115858 #ios11",,,easy,Standard single-issue report
19,41707,"Please @115858 what the heck! Ever since I updated my iPhone I can’t even use Apple TV Keeps asking me to sign in I give the code, asks again",,,easy,Standard single-issue report
20,1539978,my ringer all of a sudden stopped working. It says I have headphones in when I don’t. HELP!!!!!!!!!,,,easy,Standard single-issue report
21,742531,"-iOS 11.02 updated apps iPhone keeps using cellular data while on wifi. Need an IMMEDIATE fix, please! #ios1102",,,easy,Standard single-issue report
