sample_id,customer_tweet_id,customer_text,draft_reply,human_correctness_1_to_5,human_groundedness_1_to_5,human_relevance_1_to_5,human_helpfulness_1_to_5,human_brand_consistency_1_to_5,human_unsupported_claims_bool,human_overall_score_1_to_5,llm_judge_score,score_difference
1,862738,why can’t I control music from the Control Centre when my phone is locked since ios11?,We're here to help. We're happy to help. Which model iPhone are you using? Thanks.,,,,,,,4.0,4.4,0.4
2,1579728,That worked!! Thank you so much!!!,We're here to help. We're so glad that helped! Please get in touch with us again if you need assistance with any other issues. Have an awesome day.,,,,,,,5.0,4.4,0.6
3,1623339,My 7 Plus has been freezing at least twice a day since the iPhone X/IOS 11 update came out @115858 https://t.co/OWcCvDHbU0,We're here to help. We'd love to work together on this with you. Meet us in DM with additional details to get started: https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
4,925554,I can't access notification bar while using 'reachability' feature. It's a bug I guess!!,We're here to help. Let’s work together to get to the bottom of this. Which device and version of iOS 11 are you using (Settings > General > About)?,,,,,,,4.5,4.4,0.1
5,1447295,umm @115858 why do my text look like this STILL! I just updated my phone! 🤬 https://t.co/6CNIWq2xe8,"We're here to help. We are glad to provide you a fast, facile workaround for this. This article walks you through it: https://t.co/xXaXeeSRt9",,,,,,,5.0,4.4,0.6
6,1449198,"I updated both my iPhone and my Macbook and now neither recognizes my @115858 ID. It keeps making me change it over and over, what the fuck.",We're here to help. Help is on the way. Send us a DM to get started. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
7,216089,"So my IPhone 7 updated to iOS 11 all on its own. I didn’t want it. I’m not sure what’s wrong with my photos but now they don’t want to load to my messages, etc, bc they’re apparently in the cloud. I updated to 11.1.1 hoping for a fix but it’s actually worse.",We're here to help. We are here to help. DM us which iOS device you are using and we can take a look at this. https://t.co/GDrqU22YpT,,,,,,,4.0,4.4,0.4
8,891091,there is an app that won’t update even after I restarted my phone. Is there appstore problem?,We're here to help. We are here to help. Are you connected via Wi-Fi or cellular? Does this persist if you turn off Wi-Fi?,,,,,,,4.5,4.4,0.1
9,915211,"why i can’t download apps from appstore,from Sudan.",We're here to assist. DM us with the type of device you're using along with the current OS installed. https://t.co/GDrqU22YpT,,,,,,,4.0,4.2,0.2
10,107346,"umm, why won’t my personal hotspot connect to my laptop? I’ve tried restarting my network settings on my iphone and restarting my laptop but it still doesn’t work. On my laptop, it says “the connection is limited”","We're here to help. We'll help. When others try to connect, are they seeing your hotspot and just not able to connect?",,,,,,,4.5,4.4,0.1
